transaction_id,account_id,customer_name,phone_number,account_type,transaction_type,amount,transaction_date,status
f7fc9db1-f567-43e2-bf56-632d0360eee2,2b3410cd,Jason Figueroa,2264369869,Checking,Transfer,3003.46,2026-03-31 10:07:42,Pending
6c02f3a1-b756-4e90-96b9-ce8f0a931e09,ed28880d,Richard Barnett,3770012704,Investment,Withdrawal,1146.96,2025-08-27 08:19:44,Completed
1d1a5082-6be2-44bd-8faa-cc5009db527e,7d3eeeff,Benjamin Hernandez,2720444147,Savings,Deposit,4522.01,01/09/2026,Pending
90d1c5f1-f2a5-49ae-a92e-49591611020c,1cd36339,Sara Jordan MD,7112681956,Investment,Payment,4169.27,2025-11-27 02:04:28,Completed
dc19fdd4-8f55-4eab-98d7-647b834c2446,085c9173,Paula Williamson,4488912268,,Transfer,2834.54,2026-02-28 12:23:10,Completed
54cc20be-1e56-43cb-b9d3-b8d7e6e37971,a5461731,James Mercado,0156048346,Credit Card,Payment,$2237.58,2025-12-05 20:59:00,Pending
36a97253-fc5f-4fcd-b638-7e91d35761f1,80efcb1e,Matthew Patel,0127724937,Savings,Transfer,4502.31,2025-10-27 13:26:17,Completed
df67befa-b30d-4ba4-9305-db59f48b892c,c93fc20c,Tom Ellis,6849605204,Checking,Payment,$4541.55,2026-03-08 19:54:42,Completed
0e121e82-6143-4279-bc7a-8c09ff39eea9,6f1f6c15,Diana Benitez,3592876986,Checking,Deposit,2729.68,2025-09-03 08:12:23,Completed
083d7f93-c10f-4c8e-bd6f-0ab2951738a7,acdbec6a,,9503420530,Checking,Transfer,4606.44,22-11-2025,Completed
7f78e978-3ab7-49ba-bcad-5036933bea75,4f79728f,Aimee Grimes,0955699350,,Withdrawal,4326.15,2025-09-03 23:02:21,Completed
9ce4687a-d7c6-4103-9c9c-b2ab3ca90794,f7552f71,Brian Phillips,7761216601,Investment,Payment,2207.44,"September 03, 2025",Completed
51e19c64-feab-4ae4-b092-bc5a7bba37e7,a9139060,Renee Francis,5893414680,Investment,Deposit,1257.57,2026-02-17 14:29:19,Completed
aba81cec-ddde-4bb7-97ba-b09c91f693f4,8190d3f7,Chelsea Fischer,8876889447,Credit Card,Payment,3897.96,2025-12-22 19:09:21,Pending
ae4a8d2d-5a06-49b5-a08d-4929afa46159,91b1679c,Samantha Brooks,9903944857,Investment,Transfer,4566.75,2026-04-28 08:35:12,Completed
9f80fef7-a035-476c-acf8-950c0db7c370,23784a03,Brooke Williams,7898892632,Checking,Transfer,4325.41,2026-02-09 22:50:34,Completed
20382d6e-7c75-49dd-907a-6d0d667cb2e7,ff5f563b,Katie Brown,2415661257,Investment,Transfer,1568.82,2025-12-28 18:26:57,Pending
f3fdfa31-5dd3-4984-9241-4484424ce3d9,695b1b1f,Dennis Castaneda,1404588422,Credit Card,Transfer,658.95,2025-10-22 01:57:36,Completed
48c2bfd7-017d-425d-bcae-9ccc28980b39,14028742,Cheryl Brown,4280418927,Investment,Withdrawal,2379.0,29-08-2025,Completed
0ece47b7-68dc-445a-90d3-e1106017370e,8af6cf53,,2425758980,Checking,Deposit,4264.2,2025-12-26 11:45:28,Completed
d65ecbab-33fe-4fb3-9445-6db0447636f7,c1e63717,Lisa Erickson,4569427390,Investment,Withdrawal,3166.47,2026-02-20 09:19:02,Completed
ed9feae1-ab6d-408b-b033-061dc7a7272a,9afe6985,,9299683439,Savings,Deposit,2628.03,2026-05-25 23:23:25,Completed
cac59f75-130d-476f-a38c-6f63c4b7e30a,fb62ea7b,Brian Dixon,5738643532,,Deposit,3222.96,20260110,Completed
64e6063b-c5d6-4ef9-8eb1-2857603afe18,bb541e48,,1260774324,Credit Card,Deposit,3760.73,2025-11-13 23:09:45,Completed
e0e648e9-6e03-410a-9823-02dbd3e8fdd6,131465d2,David Garcia,6991888268,Investment,Payment,3798.51,2025-09-17 22:02:32,Completed
8d0a01c9-3010-4df5-a414-9f937ac800cd,69ab26f1,Lisa Wong,4749406584,Checking,Payment,2766.11,2026-05-11 15:19:42,Pending
09339f4a-1df0-48ad-95fa-61ecbce5d801,5ed2b1ec,Robert Barton,7006947601,Investment,Withdrawal,4065.5,2026-04-07 14:50:42,Completed
c5afab2b-1335-4590-9627-a984e4d98ec8,c12f049f,,3125767292,Investment,Withdrawal,4318.78,2025-07-29 22:44:43,Completed
52c59027-237a-4580-92f2-204a2706580e,fffe4129,Michael Campbell,3631130051,Checking,Payment,896.59,01/15/2026,Failed
