customer_id,full_name,email,phone,address,city,state_name,pincode,aadhaar,pan,date_of_birth,gender,source_system,scenario_tag,created_at
1,Raj Sharma,raj@gmail.com,9876543210,12 MG Road,Delhi,Delhi,110001,123412341234,ABCDE1234F,1995-01-15,Male,crm,base_exact,2026-07-09 10:48:33
2,Raj Sharma,raj@gmail.com,9876543210,12 MG Road,Delhi,Delhi,110001,123412341234,ABCDE1234F,1995-01-15,Male,crm,exact_duplicate,2026-07-09 10:48:33
3, Raj Sharma ,RAJ@GMAIL.COM,9876543210,12 MG Road ,Delhi,Delhi,110001,123412341234,ABCDE1234F,1995-01-15,Male,crm,same_entity_whitespace_case,2026-07-09 10:48:33
4,Raj Sharam,raj@gmail.com,9876543210,12 MG Road,Delhi,Delhi,110001,123412341234,ABCDE1234F,1995-01-15,Male,crm,fuzzy_name_typo,2026-07-09 10:48:33
5,Raj Sharrma,raj@gmail.com,9876543210,12 MG Road,Delhi,Delhi,110001,123412341234,ABCDE1234F,1995-01-15,Male,crm,fuzzy_name_typo_2,2026-07-09 10:48:33
6,R. Sharma,raj@gmail.com,9876543210,12 MG Road,Delhi,Delhi,110001,123412341234,ABCDE1234F,1995-01-15,Male,crm,initials_variant,2026-07-09 10:48:33
7,Raj S.,raj@gmail.com,9876543210,12 MG Road,Delhi,Delhi,110001,123412341234,ABCDE1234F,1995-01-15,Male,crm,surname_missing_variant,2026-07-09 10:48:33
8,Raj,raj@gmail.com,9876543210,12 MG Road,Delhi,Delhi,110001,123412341234,ABCDE1234F,1995-01-15,Male,crm,partial_name_only,2026-07-09 10:48:33
9,,raj@gmail.com,9876543210,12 MG Road,Delhi,Delhi,110001,123412341234,ABCDE1234F,1995-01-15,Male,crm,missing_name,2026-07-09 10:48:33
10,Raj Sharma,,9876543210,12 MG Road,Delhi,Delhi,110001,123412341234,ABCDE1234F,1995-01-15,Male,crm,missing_email,2026-07-09 10:48:33
